Phase,Step,Area,Component,Plan,Dependency,Status
1,1,Scope,Application,Confirm the simple application scope: React frontend plus Catalog API and Order API,None,Not started
1,2,Service design,Catalog API,Own book listings book details categories filtering and catalog administration,None,Not started
1,3,Service design,Order API,Own cart creation orders order history order status and checkout validation,None,Not started
1,4,API design,Frontend and APIs,Define versioned API contracts such as GET /api/catalog/books and POST /api/orders,Service boundaries,Not started
1,5,Data ownership,Database,Keep catalog data owned by Catalog API and cart/order data owned by Order API,API design,Not started
1,6,Security,Authentication,Choose OIDC or an approved identity provider for protected order operations,Identity provider decision,Not started
2,7,Frontend,React application,Replace in-memory catalog data with calls to Catalog API,API contract,Not started
2,8,Frontend,React application,Replace in-memory cart behavior with calls to Order API,API contract,Not started
2,9,Frontend,Configuration,Use same-host paths beginning with /api to reduce CORS complexity,NGINX routing design,Not started
2,10,Frontend,Build,Build the React application and generate the production dist output,Frontend build setup,Not started
3,11,Backend foundation,Catalog API,Choose the approved backend language and framework and create the service project,None,Not started
3,12,Backend foundation,Order API,Choose the approved backend language and framework and create the service project,None,Not started
3,13,Backend standards,Both APIs,Add environment configuration structured logs request IDs validation timeouts and graceful shutdown,Runtime selected,Not started
3,14,Health checks,Both APIs,Add startup readiness and liveness endpoints,Service foundation,Not started
3,15,Testing,Both APIs,Add unit integration API contract authorization and validation tests,API implementation,Not started
4,16,Database,Catalog API,Create catalog schema migrations indexes and database access layer,Data ownership,Not started
4,17,Database,Order API,Create cart and order schemas migrations indexes and transaction handling,Data ownership,Not started
4,18,Order safety,Order API,Add server-side price validation inventory checks and idempotency keys,Order database,Not started
4,19,Database operations,Managed database,Configure backups encryption point-in-time restore connection limits and private access,Azure subscription,Not started
5,20,Containers,Frontend,Create a production frontend container that serves the Vite dist files,Frontend build,Not started
5,21,Containers,Catalog API,Create a production container for Catalog API with a non-root runtime user,Catalog API project,Not started
5,22,Containers,Order API,Create a production container for Order API with a non-root runtime user,Order API project,Not started
5,23,Container security,All images,Use multi-stage builds pinned base images immutable commit tags vulnerability scans and SBOMs,Container standards,Not started
5,24,Registry,Azure Container Registry,Create image repositories access policies retention and image promotion rules,Azure subscription,Not started
6,25,Azure platform,AKS,Create an AKS cluster with managed identity monitoring and approved network policy,Azure landing zone,Not started
6,26,Azure platform,AKS nodes,Create system and user node pools and define availability and capacity targets,AKS design,Not started
6,27,Azure platform,Namespaces,Create separate development staging and production namespaces,AKS cluster,Not started
